PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"40202755","Foley Catheter Management: A Review","Cameron AP, Werneburg GT.","JAMA Surg. 2025 Jun 1;160(6):701-707. doi: 10.1001/jamasurg.2025.0565.","Cameron AP","JAMA Surg","2025","2025/04/09","","","10.1001/jamasurg.2025.0565"
"35272334","Methenamine Hippurate With Cranberry Capsules Versus Cranberry Alone for Urinary Tract Infection Prevention in a Short-Term Indwelling Foley Catheter Population After Urogynecologic Surgery: A Double-Blinded Randomized Controlled Trial","Tam TY, Aldrich ER, Crisp CC, Yook E, Yeung J, Pauls RN.","Female Pelvic Med Reconstr Surg. 2022 Mar 1;28(3):e55-e61. doi: 10.1097/SPV.0000000000001147.","Tam TY","Female Pelvic Med Reconstr Surg","2022","2022/03/10","","","10.1097/SPV.0000000000001147"
"39341718","Innovating Indwelling Catheter Design to Counteract Urinary Tract Infection","Drake MJ, Clavica F, Murphy C, Fader MJ.","Eur Urol Focus. 2024 Sep;10(5):713-719. doi: 10.1016/j.euf.2024.09.015. Epub 2024 Sep 28.","Drake MJ","Eur Urol Focus","2024","2024/09/28","","","10.1016/j.euf.2024.09.015"
"39238721","Medicated Foley Catheters Do Not Prevent Catheter-Associated Urinary Tract Infection: A Systematic Review of Randomized Controlled Trials","Banerjee I, Robinson J, Banerjee I.","Cureus. 2024 Aug 5;16(8):e66235. doi: 10.7759/cureus.66235. eCollection 2024 Aug.","Banerjee I","Cureus","2024","2024/09/06","PMC11375116","","10.7759/cureus.66235"
"36819923","Is It Really the Foley? A Systematic Review of Bladder Management and Infection Risk","Davis M, Jethani L, Robbins E, Kaner M.","Top Spinal Cord Inj Rehabil. 2023 Winter;29(1):94-107. doi: 10.46292/sci22-00009. Epub 2023 Feb 15.","Davis M","Top Spinal Cord Inj Rehabil","2023","2023/02/23","PMC9936901","","10.46292/sci22-00009"
"33706795","Foley catheter with noble metal alloy coating for preventing catheter-associated urinary tract infections: a large, multi-center clinical trial","Kai-Larsen Y, Grass S, Mody B, Upadhyay S, Trivedi HL, Pal DK, Babu S, Bawari B, Singh SK.","Antimicrob Resist Infect Control. 2021 Feb 25;10(1):40. doi: 10.1186/s13756-021-00907-w.","Kai-Larsen Y","Antimicrob Resist Infect Control","2021","2021/03/12","PMC7953677","","10.1186/s13756-021-00907-w"
"36651058","A comprehensive status update on modification of foley catheter to combat catheter-associated urinary tract infections and microbial biofilms","Chadha J, Thakur N, Chhibber S, Harjai K.","Crit Rev Microbiol. 2024 Mar;50(2):168-195. doi: 10.1080/1040841X.2023.2167593. Epub 2023 Jan 18.","Chadha J","Crit Rev Microbiol","2024","2023/01/18","","","10.1080/1040841X.2023.2167593"
"28211358","A prospective interventional study to examine the effect of a silver alloy and hydrogel-coated catheter on the incidence of catheter-associated urinary tract infection","Chung PH, Wong CW, Lai CK, Siu HK, Tsang DN, Yeung KY, Ip DK, Tam PK.","Hong Kong Med J. 2017 Jun;23(3):239-45. doi: 10.12809/hkmj164906. Epub 2017 Feb 17.","Chung PH","Hong Kong Med J","2017","2017/02/18","","","10.12809/hkmj164906"
"40552721","A prospective randomised pilot study evaluating the safety of the novel LubriShield™ Foley catheter: a permanently coated indwelling urinary catheter","Andreasson A, Andersson J, Larsson H, Ekerhult T, Stranne J.","Scand J Urol. 2025 Jun 24;60:124-129. doi: 10.2340/sju.v60.43994.","Andreasson A","Scand J Urol","2025","2025/06/24","","","10.2340/sju.v60.43994"
"35703805","Multidisciplinary Project to Prevent Postoperative Urinary Tract Infection","Wilson SB, Shaikh SP, Rosenkranz P, Rush I, Kandadai P, Wang DS, McAneny D.","J Am Coll Surg. 2022 Jun 1;234(6):1101-1109. doi: 10.1097/XCS.0000000000000180. Epub 2022 Apr 8.","Wilson SB","J Am Coll Surg","2022","2022/06/15","","","10.1097/XCS.0000000000000180"
"27125268","In Vivo Trial of a Novel Atraumatic Urinary Catheter Design for Prevention of Catheter-Induced Trauma","Azar R, Shadpour P.","J Endourol. 2016 Jul;30(7):822-7. doi: 10.1089/end.2015.0827. Epub 2016 May 24.","Azar R","J Endourol","2016","2016/04/30","","","10.1089/end.2015.0827"
"30398417","Effects of the use of silver-coated urinary catheters on the incidence of catheter-associated bacteriuria and urinary tract infection in dogs","Ogilvie AT, Brisson BA, Gow WR, Wainberg S, Singh A, Weese JS.","J Am Vet Med Assoc. 2018 Nov 15;253(10):1289-1293. doi: 10.2460/javma.253.10.1289.","Ogilvie AT","J Am Vet Med Assoc","2018","2018/11/07","","","10.2460/javma.253.10.1289"
"38336174","Self bladder emptying compared with Foley catheter placement for planned cesarean delivery: a randomized controlled trial","Mohd Yassin NA, Kamarudin M, Hamdan M, Tan PC.","Am J Obstet Gynecol MFM. 2024 May;6(5):101308. doi: 10.1016/j.ajogmf.2024.101308. Epub 2024 Feb 8.","Mohd Yassin NA","Am J Obstet Gynecol MFM","2024","2024/02/09","","","10.1016/j.ajogmf.2024.101308"
"39245325","Epidemiology of subsequent carbapenem-resistant enterobacterales (CRE) infection among rectal carriers: A meta-analysis of incidence, risk factors and their association with geographic region and age","Wei Y, Luo H, Chen X, Yan Q.","Int J Antimicrob Agents. 2024 Nov;64(5):107335. doi: 10.1016/j.ijantimicag.2024.107335. Epub 2024 Sep 7.","Wei Y","Int J Antimicrob Agents","2024","2024/09/08","","","10.1016/j.ijantimicag.2024.107335"
"38960062","Single-center, double-blind, randomized, placebo-controlled pilot study of Canoxidin® for prevention of catheter encrustation in patients with indwelling catheters","Borau A, Amaya E, Delía P, Alves MJ, Morcillo M, Ustrell A, Opisso E.","Actas Urol Esp (Engl Ed). 2024 Nov;48(9):658-664. doi: 10.1016/j.acuroe.2024.06.004. Epub 2024 Jul 1.","Borau A","Actas Urol Esp (Engl Ed)","2024","2024/07/03","","","10.1016/j.acuroe.2024.06.004"
"35993996","Exploration of 3D Printing of Anti-Infective Urinary Catheters: Materials and Approaches to Combat Catheter-Associated Urinary Tract Infections (CAUTIs) - A Review","Menon A, Durairajan R, Durai R, Paramasivam N, Narayanan VB.","Crit Rev Ther Drug Carrier Syst. 2022;39(5):51-82. doi: 10.1615/CritRevTherDrugCarrierSyst.2022040452.","Menon A","Crit Rev Ther Drug Carrier Syst","2022","2022/08/22","","","10.1615/CritRevTherDrugCarrierSyst.2022040452"
"41059852","Effective interventions to prevent catheter-associated urinary tract infections: a systematic review","Li N, Shi R, Sun Y, Chen Q.","Rev Inst Med Trop Sao Paulo. 2025 Oct 3;67:e61. doi: 10.1590/S1678-9946202567061. eCollection 2025.","Li N","Rev Inst Med Trop Sao Paulo","2025","2025/10/08","PMC12499511","","10.1590/S1678-9946202567061"
"40507677","Antibiotic Prophylaxis After Urethroplasty: A Review of the Literature","Cahill EM, Patel HV, Koch GE, Sterling J.","J Clin Med. 2025 Jun 2;14(11):3915. doi: 10.3390/jcm14113915.","Cahill EM","J Clin Med","2025","2025/06/13","PMC12156196","","10.3390/jcm14113915"
"32469449","A systematic review of best practices for the perioperative management of abdominal sacrocolpopexy","Nemirovsky A, Herbert AS, Gorman EF, Malik RD.","Neurourol Urodyn. 2020 Jun;39(5):1264-1275. doi: 10.1002/nau.24411. Epub 2020 May 29.","Nemirovsky A","Neurourol Urodyn","2020","2020/05/30","","","10.1002/nau.24411"
